date,BTC-USD,SPY
2022-09-19,19544.1289,368.9109
2022-09-20,18890.7891,364.6763
2022-09-21,18547.4004,358.315
2022-09-22,19413.5508,355.3052
2022-09-23,19297.6387,349.3521
2022-09-24,18937.0117,
2022-09-25,18802.0977,
2022-09-26,19222.6719,345.8961
2022-09-27,19110.5469,345.0131
2022-09-28,19426.7207,351.8017
2022-09-29,19573.0508,344.453
2022-09-30,19431.7891,339.1265
2022-10-01,19312.0957,
2022-10-02,19044.1074,
2022-10-03,19623.5801,348.0798
2022-10-04,20336.8438,358.8657
2022-10-05,20160.7168,358.0302
2022-10-06,19955.4434,354.3368
2022-10-07,19546.8496,344.453
2022-10-08,19416.5684,
2022-10-09,19446.4258,
2022-10-10,19141.4844,341.8229
2022-10-11,19051.418,339.6582
2022-10-12,19157.4453,338.5378
2022-10-13,19382.9043,347.4722
2022-10-14,19185.6562,339.5538
2022-10-15,19067.6348,
2022-10-16,19268.0938,
2022-10-17,19550.7578,348.2793
2022-10-18,19334.416,352.3715
2022-10-19,19139.5352,349.8744
2022-10-20,19053.7402,346.9406
2022-10-21,19172.4688,355.3717
2022-10-22,19208.1895,
2022-10-23,19567.0078,
2022-10-24,19345.5723,359.7202
2022-10-25,20095.8574,365.4644
2022-10-26,20770.4414,362.711
2022-10-27,20285.8359,360.774
2022-10-28,20595.3516,369.3571
2022-10-29,20818.4766,
2022-10-30,20635.6035,
2022-10-31,20495.7734,366.6892
2022-11-01,20485.2734,365.0846
2022-11-02,20159.5039,355.9224
2022-11-03,20209.9883,352.2575
2022-11-04,21147.2305,357.3276
2022-11-05,21282.6914,
2022-11-06,20926.4863,
2022-11-07,20602.8164,360.7456
2022-11-08,18541.2715,362.692
2022-11-09,15880.7803,355.2198
2022-11-10,17586.7715,374.7406
2022-11-11,17034.293,378.3675
2022-11-12,16799.1855,
2022-11-13,16353.3652,
2022-11-14,16618.1992,375.1488
2022-11-15,16884.6133,378.3485
2022-11-16,16669.4395,375.4622
2022-11-17,16687.5176,374.3133
2022-11-18,16697.7773,376.0129
2022-11-19,16711.5469,
2022-11-20,16291.832,
2022-11-21,15787.2842,374.6457
2022-11-22,16189.7695,379.6873
2022-11-23,16610.707,382.0799
2022-11-24,16604.4648,
2022-11-25,16521.8418,381.9944
2022-11-26,16464.2812,
2022-11-27,16444.627,
2022-11-28,16217.3223,375.8989
2022-11-29,16444.9824,375.2533
2022-11-30,17168.5664,387.074
2022-12-01,16967.1328,386.7891
2022-12-02,17088.6602,386.343
2022-12-03,16908.2363,
2022-12-04,17130.4863,
2022-12-05,16974.8262,379.3929
2022-12-06,17089.5039,373.924
2022-12-07,16848.127,373.2879
2022-12-08,17233.4746,376.2122
2022-12-09,17133.1523,373.4019
2022-12-10,17128.7246,
2022-12-11,17104.1934,
2022-12-12,17206.4375,378.7853
2022-12-13,17781.3184,381.6526
2022-12-14,17815.6504,379.2125
2022-12-15,17364.8652,369.9364
2022-12-16,16647.4844,365.5688
2022-12-17,16795.0918,
2022-12-18,16757.9766,
2022-12-19,16439.6797,362.4689
